lat,lon,label
37.7866144613,-122.406401668,6
37.7868849113,-122.408201657,6
37.787359495,-122.408231026,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7854574903,-122.400916029,6
37.7570133987,-122.418351238,2
37.7604330004,-122.41592985,2
37.7604330004,-122.41592985,2
37.7586968166,-122.417964484,2
37.7835634796,-122.415066876,1
37.7118229386,-122.427966288,4
37.7118229386,-122.427966288,4
37.7118229386,-122.427966288,4
37.7899200015,-122.42206273,5
37.7899200015,-122.42206273,5
37.7899200015,-122.42206273,5
37.7899200015,-122.42206273,5
37.7899200015,-122.42206273,5
37.7899200015,-122.42206273,5
37.7899200015,-122.42206273,5
37.7899200015,-122.42206273,5
37.7899200015,-122.42206273,5
37.7899200015,-122.42206273,5
37.7899200015,-122.42206273,5
37.7899200015,-122.42206273,5
37.7899200015,-122.42206273,5
37.7899200015,-122.42206273,5
37.7899200015,-122.42206273,5
37.7899200015,-122.42206273,5
37.7899200015,-122.42206273,5
37.7899200015,-122.42206273,5
37.7899200015,-122.42206273,5
37.7899200015,-122.42206273,5
37.7899200015,-122.42206273,5
37.7899200015,-122.42206273,5
37.7899200015,-122.42206273,5
37.7899200015,-122.42206273,5
37.7118229386,-122.427966288,4
37.7118229386,-122.427966288,4
37.7118229386,-122.427966288,4
37.7118229386,-122.427966288,4
37.7118229386,-122.427966288,4
37.7562905437,-122.417664997,2
37.7587640201,-122.416872884,2
37.7596123169,-122.415921585,2
37.7562905437,-122.417664997,2
37.7588312135,-122.415781282,2
37.7962176299,-122.405539468,6
37.7962176299,-122.405539468,6
37.7965510481,-122.405283981,6
37.7965510481,-122.405283981,6
37.760301234,-122.418120086,2
37.7619674218,-122.417180449,2
37.7912255174,-122.404195425,6
37.7912255174,-122.404195425,6
37.7912255174,-122.404195425,6
37.7785233776,-122.40346408,6
37.7588520014,-122.416331137,2
37.7602134417,-122.418656834,2
37.7588312135,-122.415781282,2
37.7595850479,-122.404505574,0
37.7594801326,-122.418108926,2
37.7246926894,-122.459564595,7
37.7246926894,-122.459564595,7
37.7388951597,-122.435081295,2
37.7166425333,-122.47430808,7
37.7166425333,-122.47430808,7
37.7166425333,-122.47430808,7
37.7166425333,-122.47430808,7
37.7166425333,-122.47430808,7
37.7166425333,-122.47430808,7
37.7166425333,-122.47430808,7
37.7166425333,-122.47430808,7
37.7166425333,-122.47430808,7
37.7166425333,-122.47430808,7
37.7166425333,-122.47430808,7
37.7166425333,-122.47430808,7
37.7166425333,-122.47430808,7
37.7166425333,-122.47430808,7
37.7166425333,-122.47430808,7
37.7166425333,-122.47430808,7
37.7571005796,-122.417812559,2
37.7618358012,-122.419360353,2
37.7588312135,-122.415781282,2
37.7990019437,-122.441811628,5
37.7990019437,-122.441811628,5
37.793524904,-122.405396537,6
37.7946373197,-122.406981047,6
